date,priority,stage,task,status,owner,evidence,acceptance,source
"2026-02-14","P0","Stage A (Go-Live)","DNS/TLS/HSTS evidence attached","todo","DevOps","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P0","Stage A (Go-Live)","lead routing/notification evidence attached","todo","DevOps","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P1","Stage B (Brand + Proof)","3 pillar content links logged in runtime/content log","todo","Brand/Product","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P1","Stage B (Brand + Proof)","PersianToolbox proof asset linked","todo","Brand/Product","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P1","Stage B (Brand + Proof)","case-study page/routes detected","todo","Brand/Product","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P1","Stage S (Sales + Contracts)","SOW/scope template detected","todo","Sales/PM","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P1","Stage S (Sales + Contracts)","change request template/process detected","todo","Sales/PM","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P1","Stage S (Sales + Contracts)","handover pack checklist completed","todo","Sales/PM","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P1","Stage S (Sales + Contracts)","proposal template detected","todo","Sales/PM","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P1","Stage S (Sales + Contracts)","signed sales evidence attached","todo","Sales/PM","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P2","Stage L (Long-term)","3 successful project reports published","todo","Leadership","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P2","Stage L (Long-term)","product line progress documented without delivery drift","todo","Leadership","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
"2026-02-14","P2","Stage L (Long-term)","proof-based move toward larger contracts documented","todo","Brand/Product","docs/strategic-execution/runtime","Checkbox promoted to [x] in STAGE_STATUS.md","STAGE_STATUS.md"
